track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,WAV source,source_wav,WAV,275.4266666666667,44100,-0.09997528046369553,-8.664788246154785,8.564812660217285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 128 kbps CBR,mp3_128,128 CBR,275.4266666666667,44100,2.2963950634002686,-9.09900951385498,11.395404815673828,9.920974731445312,19.57221412658692,-9.889656066894531,0.9147393845358834,0.4326815903186798,0.4353800415992737,0.3244288861751556,11.92996883392334
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 192 kbps CBR,mp3_192,192 CBR,275.4266666666667,44100,1.5319476127624512,-8.925976753234863,10.457923889160156,5.713763236999512,14.169448852539062,-5.698195457458496,0.907932875121192,0.2589047253131866,0.2623854279518127,0.2415329664945602,4.2675371170043945
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 320 kbps CBR,mp3_320,320 CBR,275.4266666666667,44100,0.8920084834098816,-8.664384841918945,9.55639362335205,3.1196365356445312,10.33356761932373,-3.0783865451812744,0.8981118698986555,0.00175992178265,0.0020879756193608,0.0048101278953254,0.0535772554576396
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 VBR q0,mp3_v0,V0,275.4266666666667,44100,1.4768661260604858,-8.66335678100586,10.140222549438477,0.2452385276556015,0.5774310231208801,-0.0882858708500862,0.99897027072125,0.0032650441862642,0.0033654537983238,0.0135326711460947,0.1617683470249176
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 VBR q2,mp3_v2,V2,275.4266666666667,44100,1.9667670726776123,-8.66319465637207,10.629961967468262,5.743159770965576,14.21651840209961,-5.6371893882751465,0.9120497227761292,0.0114491404965519,0.0091973040252923,0.0276756156235933,4.470168590545654
Rage Against the Machine/Renegades/04 Rage Against the Machine - Renegades of Funk.wav,Rage_Against_the_Machine__Renegades__04_Rage_Against_the_Machine_-_Renegades_of_Funk,MP3 VBR q5,mp3_v5,V5,275.4266666666667,44100,3.3566951751708984,-8.645306587219238,12.002001762390137,10.237974166870115,19.69895362854004,-9.704365730285645,0.9181759817475292,0.0727883502840995,0.0333413891494274,0.2657518684864044,12.605608940124512
