track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,WAV source,source_wav,WAV,111.06666666666666,44100,-0.09756234288215637,-10.443428993225098,10.345866203308105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 128 kbps CBR,mp3_128,128 CBR,111.06666666666666,44100,1.3536823987960815,-10.865093231201172,12.218775749206543,9.797280311584473,19.64397621154785,-9.648337364196776,0.8589434685720652,0.5180086493492126,0.4395493268966675,0.2861376404762268,12.381439208984377
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 192 kbps CBR,mp3_192,192 CBR,111.06666666666666,44100,0.8786945343017578,-10.70162582397461,11.580320358276367,5.449102401733398,13.824579238891602,-5.433794498443604,0.8869998933782105,0.2671949863433838,0.263749897480011,0.2285819351673126,4.450998306274414
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 320 kbps CBR,mp3_320,320 CBR,111.06666666666666,44100,0.46740686893463135,-10.442419052124023,10.909826278686523,2.753486156463623,9.295175552368164,-2.7229483127593994,0.9152134410609696,0.0073674144223332,0.0033460147678852,0.0095589542761445,0.0533992648124694
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 VBR q0,mp3_v0,V0,111.06666666666666,44100,0.6461119055747986,-10.441145896911621,11.087257385253906,0.355381578207016,1.281918168067932,-0.2671569287776947,0.9966674743253752,0.0085008842870593,0.0045726913958787,0.0182745661586523,0.0964337885379791
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 VBR q2,mp3_v2,V2,111.06666666666666,44100,1.4316452741622925,-10.440681457519531,11.872326850891113,5.420047760009766,13.841354370117188,-5.255859851837158,0.8871163708440389,0.040220707654953,0.011867020279169,0.0388572737574577,4.533268928527832
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,SOAD__Toxicity__11_System_Of_A_Down_-_Shimmy,MP3 VBR q5,mp3_v5,V5,111.06666666666666,44100,2.009077310562134,-10.4212646484375,12.430341720581055,10.037160873413086,19.71379852294922,-9.455327033996582,0.859909123373196,0.1770526617765426,0.041396215558052,0.2434305846691131,12.90654754638672
