track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,WAV source,source_wav,WAV,133.6,44100,-0.09970714151859283,-13.393458366394043,13.293750762939453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 128 kbps CBR,mp3_128,128 CBR,133.6,44100,0.35719090700149536,-13.83169174194336,14.188882827758789,7.838701725006103,15.336116790771484,-7.745835304260254,0.9155555709380576,0.3804773390293121,0.4375946521759033,0.3146683275699615,9.671416282653809
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 192 kbps CBR,mp3_192,192 CBR,133.6,44100,0.1410616934299469,-13.656953811645508,13.798015594482422,4.514133930206299,11.199216842651367,-4.485179901123047,0.9115044372146468,0.2485720664262771,0.2625748217105865,0.2406435012817382,3.625897169113159
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 320 kbps CBR,mp3_320,320 CBR,133.6,44100,0.14659790694713593,-13.393250465393066,13.539848327636719,2.3303933143615723,7.8038201332092285,-2.286742210388184,0.9276922182061076,0.0012505474733188,0.0017845359398052,0.0095447078347206,0.0642198547720909
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 VBR q0,mp3_v0,V0,133.6,44100,0.20175665616989136,-13.392837524414062,13.59459400177002,0.3336460888385772,1.1713082790374756,-0.059812031686306,0.996273431756142,0.0025530422572046,0.0035247232299298,0.0222504064440727,0.2066912949085235
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 VBR q2,mp3_v2,V2,133.6,44100,0.43771833181381226,-13.391267776489258,13.828986167907715,4.461150646209717,11.21274471282959,-4.325328826904297,0.9123467062063264,0.0237986613065004,0.0095017487183213,0.0489022172987461,3.6660423278808594
Motion City Soundtrack/commit this to memory/10 Motion City Soundtrack - Together We’ll Ring in the New Year.wav,Motion_City_Soundtrack__commit_this_to_memory__10_Motion_City_Soundtrack_-_Together_We’ll_Ring_in_the_New_Year,MP3 VBR q5,mp3_v5,V5,133.6,44100,0.9611115455627441,-13.385010719299316,14.346122741699219,8.084785461425781,15.490721702575684,-7.630216598510742,0.9177021414398008,0.1003374233841896,0.0425706841051578,0.1839752942323684,10.252411842346191
