track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,WAV source,source_wav,WAV,244.09333333333333,44100,-0.09997528046369553,-9.919116020202637,9.819140434265137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 128 kbps CBR,mp3_128,128 CBR,244.09333333333333,44100,2.0935840606689453,-10.338343620300293,12.431927680969238,9.07509422302246,17.620553970336914,-8.948241233825684,0.9221683734550564,0.4342489242553711,0.43380007147789,0.3219690322875976,11.029616355895996
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 192 kbps CBR,mp3_192,192 CBR,244.09333333333333,44100,1.5296008586883545,-10.175868034362793,11.705469131469727,5.280084133148193,12.872302055358888,-5.266116619110107,0.9150739464053952,0.2577183544635772,0.259992390871048,0.2398669123649597,4.1245222091674805
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 320 kbps CBR,mp3_320,320 CBR,244.09333333333333,44100,0.6768172979354858,-9.91827392578125,10.595090866088867,2.825045585632324,9.283103942871094,-2.782806396484375,0.916821610199262,0.0018607308156788,0.0025364423636347,0.0063669998198747,0.0667286738753318
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 VBR q0,mp3_v0,V0,244.09333333333333,44100,1.5892388820648193,-9.917325019836426,11.506564140319824,0.2720774114131927,0.7241896390914917,-0.2396765351295471,0.9991296796865295,0.0031937991734594,0.0045129810459911,0.0139035386964678,0.1283753216266632
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 VBR q2,mp3_v2,V2,244.09333333333333,44100,1.9875142574310303,-9.918023109436035,11.905537605285645,5.356356620788574,12.879830360412598,-5.24009895324707,0.91954859726262,0.0119939129799604,0.0103813670575618,0.0449117943644523,4.403374195098877
SOAD/System of a Down/10 System of a Down - Peephole.wav,SOAD__System_of_a_Down__10_System_of_a_Down_-_Peephole,MP3 VBR q5,mp3_v5,V5,244.09333333333333,44100,3.9222776889801025,-9.890183448791504,13.812460899353027,9.403141975402832,17.77756118774414,-8.798605918884277,0.9244455951886116,0.0638838410377502,0.0408058166503906,0.2848162651062011,11.714439392089844
