track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,WAV source,source_wav,WAV,268.04,44100,0.0,-9.229085922241211,9.229085922241211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 128 kbps CBR,mp3_128,128 CBR,268.04,44100,1.7651432752609253,-9.649913787841797,11.415057182312012,9.12119197845459,17.810110092163086,-9.022164344787598,0.913219518233978,0.4405453205108642,0.4388124346733093,0.3031550943851471,11.055730819702148
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 192 kbps CBR,mp3_192,192 CBR,268.04,44100,0.9009038805961609,-9.487682342529297,10.388586044311523,5.372392654418945,13.142473220825195,-5.369400978088379,0.9062891044318572,0.2644385099411011,0.2629569470882416,0.2432907074689865,4.224306106567383
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 320 kbps CBR,mp3_320,320 CBR,268.04,44100,0.6338304877281189,-9.228259086608887,9.862089157104492,2.8363261222839355,9.359779357910156,-2.8053109645843506,0.916630769708342,0.0008309308323077,0.0017438078066334,0.0055598751641809,0.0564590096473693
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 VBR q0,mp3_v0,V0,268.04,44100,0.6857587099075317,-9.227374076843262,9.913132667541504,0.1509649157524109,0.46735480427742,-0.0787131562829017,0.9994994050110644,0.0012706307461485,0.0027607444208115,0.0085665816441178,0.0778960958123207
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 VBR q2,mp3_v2,V2,268.04,44100,1.2584017515182495,-9.226006507873535,10.484408378601074,5.287811756134033,13.128395080566406,-5.210340023040772,0.9070657977679604,0.0025456373114138,0.0082844030112028,0.0224272347986698,4.221794128417969
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,Slipknot__Volume_3-The_Subliminal_Verses__12_Slipknot_-_The_Nameless,MP3 VBR q5,mp3_v5,V5,268.04,44100,2.020778179168701,-9.208321571350098,11.22909927368164,9.3160400390625,17.857070922851562,-8.78309154510498,0.9142599265314576,0.0078613618388772,0.0412310995161533,0.198471188545227,11.53236484527588
