track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,WAV source,source_wav,WAV,319.3066666666667,44100,-0.09943901747465134,-12.045246124267578,11.945807456970215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 128 kbps CBR,mp3_128,128 CBR,319.3066666666667,44100,1.5043833255767822,-12.48056411743164,13.984947204589844,8.108063697814941,15.873993873596191,-8.027427673339844,0.913479226514158,0.4373150467872619,0.4276787340641022,0.2967168986797333,10.000428199768066
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 192 kbps CBR,mp3_192,192 CBR,319.3066666666667,44100,0.41431254148483276,-12.30644702911377,12.720759391784668,4.6682305335998535,11.543828964233398,-4.661941051483154,0.912800430509364,0.2598327100276947,0.2604899406433105,0.2360622286796569,3.7360928058624254
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 320 kbps CBR,mp3_320,320 CBR,319.3066666666667,44100,0.2562727630138397,-12.044879913330078,12.301152229309082,2.42114782333374,8.068203926086426,-2.387421131134033,0.9279904403826696,0.0012819627299904,0.0022996685001999,0.0066736810840666,0.0535903200507164
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 VBR q0,mp3_v0,V0,319.3066666666667,44100,0.4318819046020508,-12.044119834899902,12.476001739501953,0.2380248010158538,0.7867922186851501,-0.0617023482918739,0.998422428809145,0.0010851130355149,0.0039125089533627,0.012196579016745,0.1506398469209671
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 VBR q2,mp3_v2,V2,319.3066666666667,44100,1.1612544059753418,-12.0443115234375,13.20556640625,4.643498420715332,11.557207107543944,-4.544682025909424,0.9144241759648252,0.0062767476774752,0.0108859241008758,0.0331697389483451,3.8337881565094
Motion City Soundtrack/commit this to memory/12 Motion City Soundtrack - Hold Me Down.wav,Motion_City_Soundtrack__commit_this_to_memory__12_Motion_City_Soundtrack_-_Hold_Me_Down,MP3 VBR q5,mp3_v5,V5,319.3066666666667,44100,1.7716457843780518,-12.032145500183105,13.803791046142578,8.515204429626465,16.091535568237305,-7.938375473022461,0.9157688899211508,0.0242427382618188,0.052831295877695,0.2595058977603912,10.830021858215332
