track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,WAV source,source_wav,WAV,103.06666666666666,44100,-0.09997528046369553,-9.093395233154297,8.993419647216797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 128 kbps CBR,mp3_128,128 CBR,103.06666666666666,44100,2.149080753326416,-9.511323928833008,11.660404205322266,8.310596466064453,16.015987396240234,-8.191201210021973,0.9391153078888356,0.4448893964290619,0.4410242736339569,0.2940987348556518,10.30565071105957
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 192 kbps CBR,mp3_192,192 CBR,103.06666666666666,44100,1.2317397594451904,-9.349433898925781,10.58117389678955,4.875177383422852,11.478053092956545,-4.850131988525391,0.9402583436819492,0.2537876069545746,0.263147622346878,0.2422169297933578,4.048084259033203
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 320 kbps CBR,mp3_320,320 CBR,103.06666666666666,44100,0.6237388253211975,-9.092432975769043,9.716172218322754,2.5426933765411377,8.209931373596191,-2.4734582901000977,0.9411971948006944,0.002060497412458,0.0034445002675056,0.0093580232933163,0.1236890330910682
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 VBR q0,mp3_v0,V0,103.06666666666666,44100,0.9625482559204102,-9.091864585876465,10.054412841796875,0.4445096552371979,1.067585825920105,-0.4092178046703338,0.9988081548145578,0.0045679877512156,0.0062223421409726,0.0174024887382984,0.2861426174640655
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 VBR q2,mp3_v2,V2,103.06666666666666,44100,1.9555063247680664,-9.092507362365723,11.048013687133789,4.989102840423584,11.47324562072754,-4.853312969207764,0.9445894906187688,0.0234987027943134,0.0153832696378231,0.051956970244646,4.392914295196533
SOAD/System of a Down/06 System of a Down - DDevil.wav,SOAD__System_of_a_Down__06_System_of_a_Down_-_DDevil,MP3 VBR q5,mp3_v5,V5,103.06666666666666,44100,2.6562790870666504,-9.06472110748291,11.721000671386719,8.450420379638672,16.021516799926758,-7.891274929046631,0.940023659003248,0.077612429857254,0.0372254252433776,0.2719513177871704,10.638163566589355
