track,track_stem,label,preset_folder,preset_short_label,duration_sec,sample_rate_hz,peak_dbfs,rms_dbfs,crest_factor_db,spectral_mae_db,spectral_rmse_db,spectral_bias_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,WAV source,source_wav,WAV,163.06666666666666,44100,-0.0980985015630722,-9.96070671081543,9.862607955932617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 128 kbps CBR,mp3_128,128 CBR,163.06666666666666,44100,1.5204682350158691,-10.385953903198242,11.906421661376953,9.898831367492676,19.874814987182617,-9.786214828491213,0.8632991449320929,0.5290541052818298,0.4379916489124298,0.2749001085758209,12.528504371643066
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 192 kbps CBR,mp3_192,192 CBR,163.06666666666666,44100,0.9782251715660095,-10.219721794128418,11.197946548461914,5.486263751983643,13.903170585632324,-5.463272571563721,0.8925762876341817,0.2768422365188598,0.261201947927475,0.2228711545467376,4.477381706237793
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 320 kbps CBR,mp3_320,320 CBR,163.06666666666666,44100,0.3693643808364868,-9.959630012512207,10.328994750976562,2.7781245708465576,9.370294570922852,-2.742978811264038,0.9167904424779264,0.0066660712473094,0.0023326645605266,0.0086585925891995,0.047936700284481
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 VBR q0,mp3_v0,V0,163.06666666666666,44100,0.5877959728240967,-9.9584379196167,10.546234130859375,0.5505213737487793,2.02903699874878,-0.4111261069774627,0.9919487976179104,0.019877266138792,0.0038567960727959,0.0196236744523048,0.133990466594696
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 VBR q2,mp3_v2,V2,163.06666666666666,44100,1.1345157623291016,-9.957405090332031,11.091920852661133,5.492727756500244,13.943044662475586,-5.298931121826172,0.8929791899156518,0.0586519800126552,0.0095466114580631,0.0444998890161514,4.619285106658936
SOAD/Toxicity/10 System Of A Down - Science.wav,SOAD__Toxicity__10_System_Of_A_Down_-_Science,MP3 VBR q5,mp3_v5,V5,163.06666666666666,44100,1.9754375219345093,-9.941156387329102,11.916593551635742,10.335867881774902,20.082687377929688,-9.69922924041748,0.8638546225227527,0.2344886064529419,0.0365417599678039,0.2711297571659088,13.396252632141112
