track,preset_folder,preset_label,wav_size_bytes,wav_size_kb,wav_size_mb,encoded_size_bytes,encoded_size_kb,encoded_size_mb,size_ratio_encoded_to_wav,percent_reduction_from_wav,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_128,128 CBR,43058108,42048.93359,41.06341171,3906707,3815.143555,3.725726128,0.090731042,90.92689581,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_192,192 CBR,43058108,42048.93359,41.06341171,5860039,5722.694336,5.588568687,0.136096063,86.39039365,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_320,320 CBR,43058108,42048.93359,41.06341171,9766704,9537.796875,9.314254761,0.22682613,77.31738701,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_v0,V0,43058108,42048.93359,41.06341171,8257273,8063.743164,7.874749184,0.191770456,80.82295441,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_v2,V2,43058108,42048.93359,41.06341171,5877684,5739.925781,5.605396271,0.136505859,86.34941415,,,,,,,,
SOAD/System of a Down/10 System of a Down - Peephole.wav,mp3_v5,V5,43058108,42048.93359,41.06341171,3827750,3738.037109,3.650426865,0.088897311,91.11026894,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_128,128 CBR,19251164,18799.96484,18.35934067,1747112,1706.164063,1.666175842,0.090753577,90.92464227,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_192,192 CBR,19251164,18799.96484,18.35934067,2620647,2559.225586,2.499243736,0.136129275,86.38707249,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_320,320 CBR,19251164,18799.96484,18.35934067,4367716,4265.347656,4.165378571,0.226880619,77.31193812,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_v0,V0,19251164,18799.96484,18.35934067,3901009,3809.579102,3.720292091,0.202637565,79.73624348,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_v2,V2,19251164,18799.96484,18.35934067,2684738,2621.814453,2.560365677,0.139458476,86.05415236,,,,,,,,
SOAD/System of a Down/11 System of a Down - CUBErt.wav,mp3_v5,V5,19251164,18799.96484,18.35934067,1827189,1784.364258,1.742543221,0.09491317,90.50868301,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_128,128 CBR,28682684,28010.43359,27.35393906,2602674,2541.673828,2.482103348,0.090740253,90.92597471,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_192,192 CBR,28682684,28010.43359,27.35393906,3903990,3812.490234,3.723134995,0.136109647,86.38903528,,,,,,,,
