source_wav,mp3_128,mp3_192,mp3_320,mp3_v0,mp3_v2,mp3_v5,all_presets_present
SOAD/System of a Down/08 System of a Down - War?.wav,OK,OK,OK,OK,OK,OK,True
SOAD/System of a Down/09 System of a Down - Mind.wav,OK,OK,OK,OK,OK,OK,True
SOAD/System of a Down/10 System of a Down - Peephole.wav,OK,OK,OK,OK,OK,OK,True
SOAD/System of a Down/11 System of a Down - CUBErt.wav,OK,OK,OK,OK,OK,OK,True
SOAD/System of a Down/12 System of a Down - Darts.wav,OK,OK,OK,OK,OK,OK,True
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/02 System Of A Down - Needles.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/05 System Of A Down - X.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/07 System Of A Down - Bounce.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/08 System Of A Down - Forest.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/09 System Of A Down - Atwa.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/10 System Of A Down - Science.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/12 System Of A Down - Toxicity.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/13 System Of A Down - Psycho.wav,OK,OK,OK,OK,OK,OK,True
SOAD/Toxicity/14 System Of A Down - Aerials.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/01 Slipknot - Prelude 3.0.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/02 Slipknot - The Blister Exists.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/03 Slipknot - Three Nil.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/04 Slipknot - Duality.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/05 Slipknot - Opium of the People.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/06 Slipknot - Circle.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/07 Slipknot - Welcome.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/08 Slipknot - Vermilion.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/09 Slipknot - Pulse of the Maggots.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/10 Slipknot - Before I Forget.wav,OK,OK,OK,OK,OK,OK,True
"Slipknot/Volume 3-The Subliminal Verses/11 Slipknot - Vermilion, Pt. 2.wav",OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/12 Slipknot - The Nameless.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/13 Slipknot - The Virus of Life.wav,OK,OK,OK,OK,OK,OK,True
Slipknot/Volume 3-The Subliminal Verses/14 Slipknot - Danger – Keep Away.wav,OK,OK,OK,OK,OK,OK,True
