track,track_stem,preset_short_label,label,spectral_mae_db,spectral_rmse_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db,delta_peak_db,delta_rms_db,delta_crest_db
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),128 CBR,MP3 128 kbps CBR,8.029236793518066,15.85190200805664,0.933559884485755,0.43418705463409424,0.42570796608924866,0.2556247413158417,10.346648216247559,0.8642506000000001,-0.4207029999999996,1.2849529999999998
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),192 CBR,MP3 192 kbps CBR,4.532520294189453,10.731839179992676,0.951945312348614,0.2556992173194885,0.262275367975235,0.2286960929632187,3.961076021194458,0.43840689999999993,-0.2600820000000006,0.6984890000000004
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),320 CBR,MP3 320 kbps CBR,2.2432055473327637,7.321983337402344,0.9552193756418434,0.0014913221821188927,0.002792792394757271,0.007217650301754475,0.12316662818193436,0.3743126000000001,0.0004670000000004393,0.37384400000000007
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),V0,MP3 VBR q0,0.6045704483985901,1.461892008781433,0.9979657454874191,0.0028208564035594463,0.0046052648685872555,0.012115012854337692,0.5127738118171692,0.5250523999999999,0.0003860000000006636,0.5246649999999988
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),V2,MP3 VBR q2,4.4868574142456055,10.711968421936035,0.9534397945266827,0.011655358597636223,0.012437455356121063,0.03937363624572754,4.013075828552246,0.9576601999999999,-0.0005939999999995393,0.9582529999999991
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,Deftones__around_the_fur__01_Deftones_-_My_Own_Summer_(Shove_It),V5,MP3 VBR q5,8.243999481201172,15.935442924499512,0.934031076171556,0.042941149324178696,0.05684259906411171,0.2583514153957367,10.80099868774414,1.8962307000000003,0.018447999999999354,1.8777819999999998
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,128 CBR,MP3 128 kbps CBR,8.6004056930542,17.267488479614258,0.8911360840933307,0.4353364408016205,0.43603068590164185,0.24251632392406464,11.297126770019531,0.8769786000000002,-0.4226939999999999,1.299672000000001
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,192 CBR,MP3 192 kbps CBR,4.634299278259277,11.588979721069336,0.9257784510257532,0.2640974521636963,0.2605438828468323,0.22781303524971008,4.043575286865234,0.7979302000000001,-0.26098799999999933,1.058917000000001
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,320 CBR,MP3 320 kbps CBR,2.232295274734497,7.525931358337402,0.9475343816907325,0.0008753607980906963,0.002085017506033182,0.006818533409386873,0.07287723571062088,0.3420744,0.00037700000000029377,0.3416969999999999
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,V0,MP3 VBR q0,0.559097409248352,1.473462462425232,0.9974507418005464,0.0011396969202905893,0.004211779683828354,0.012651619501411915,0.37204688787460327,0.41246550000000015,0.0006370000000011089,0.41183000000000014
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,V2,MP3 VBR q2,4.614619731903076,11.5975341796875,0.9270676449110885,0.0029223947785794735,0.010378637351095676,0.03441673517227173,4.145979881286621,0.8137848000000001,-0.004392999999998537,0.8181780000000014
Deftones/around the fur/02 Deftones - Lhabia.wav,Deftones__around_the_fur__02_Deftones_-_Lhabia,V5,MP3 VBR q5,9.023569107055664,17.505767822265625,0.8921136798117791,0.011472533456981182,0.04634065553545952,0.2479027956724167,12.137283325195312,1.6656189000000001,0.017568000000000694,1.6480500000000013
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,128 CBR,MP3 128 kbps CBR,7.760693073272705,15.968396186828613,0.8873828467012183,0.4377113878726959,0.42588239908218384,0.2648392617702484,10.43880844116211,0.3608883999999999,-0.43080600000000047,0.7916949999999989
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,192 CBR,MP3 192 kbps CBR,4.048978328704834,10.332418441772461,0.9329709879506441,0.256860613822937,0.26071804761886597,0.22483202815055847,3.6643223762512207,0.35658210000000023,-0.26146450000000065,0.6180450000000004
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,320 CBR,MP3 320 kbps CBR,1.8433585166931152,6.376166820526123,0.9580376189225064,0.0013227462768554688,0.003561225486919284,0.009330013766884804,0.06294462829828262,0.35046290000000013,0.00023700000000026478,0.350223999999999
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,V0,MP3 VBR q0,0.4696979224681854,1.2774994373321533,0.9972633787405036,0.00484505807980895,0.007066852413117886,0.017955981194972992,0.3883848190307617,0.32929679999999983,-0.0005079999999999529,0.3298039999999993
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,V2,MP3 VBR q2,4.041995525360107,10.378069877624512,0.9334626351198075,0.01832243986427784,0.015459928661584854,0.05811324715614319,3.77547025680542,0.7262514000000002,-0.0033159999999998746,0.7295674999999999
Deftones/around the fur/03 Deftones - Mascara.wav,Deftones__around_the_fur__03_Deftones_-_Mascara,V5,MP3 VBR q5,8.02444839477539,16.057146072387695,0.8872434829667302,0.0659530833363533,0.0574900358915329,0.2773894965648651,10.97778034210205,1.2198909999999996,0.01256900000000094,1.2073219999999996
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,128 CBR,MP3 128 kbps CBR,9.03353500366211,18.190433502197266,0.891088957067156,0.44073137640953064,0.426230251789093,0.22737690806388855,11.698297500610352,1.2390624,-0.4180989999999998,1.6571610000000003
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,192 CBR,MP3 192 kbps CBR,4.972040176391602,12.291913986206055,0.9272678217764144,0.2582457363605499,0.2620181143283844,0.22199147939682007,4.263796329498291,0.6461247999999999,-0.2591000000000001,0.9052239999999987
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,320 CBR,MP3 320 kbps CBR,2.4186482429504395,8.117448806762695,0.9413102343327718,0.002520954003557563,0.0029420910868793726,0.00829412043094635,0.06388910114765167,0.5679644000000001,0.0005769999999998277,0.5673870000000001
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,V0,MP3 VBR q0,0.5396997332572937,1.3387668132781982,0.998115678866185,0.004176925402134657,0.006033195182681084,0.016902199015021324,0.38080328702926636,0.5635995999999999,0.00019299999999944362,0.5634059999999987
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,V2,MP3 VBR q2,4.909733772277832,12.274763107299805,0.928498862150522,0.006872906349599361,0.014994695782661438,0.04899854212999344,4.276801586151123,0.9438599999999999,-0.006406000000000134,0.9502659999999992
Deftones/around the fur/04 Deftones - Around the Fur.wav,Deftones__around_the_fur__04_Deftones_-_Around_the_Fur,V5,MP3 VBR q5,9.228684425354004,18.232345581054688,0.8913364919147404,0.044729121029376984,0.05548032745718956,0.2661564350128174,12.098970413208008,1.999485,0.020146999999999693,1.9793369999999992
