comparison_label,n_rows,mean_stft_mae_db,mean_stft_rmse_db,mean_stft_bias_db,mean_stft_abs_p95_db,mean_band_20_200_db,mean_band_200_2000_db,mean_band_2000_8000_db,mean_band_8000_20000_db
128 CBR,4,18.504404067993164,32.16541862487793,-16.774192810058594,71.80115127563477,0.6286702305078506,0.9860521703958511,2.286827713251114,23.210355758666992
192 CBR,4,12.918985605239868,25.89876937866211,-11.658767461776733,64.95101165771484,0.34753403067588806,0.5269293114542961,1.172072559595108,13.592144012451172
320 CBR,4,6.444190740585327,17.115415573120117,-5.50499951839447,52.022592544555664,0.06725927069783205,0.16818017140030855,0.42193444073200226,3.0409747064113617
V0,4,6.083130478858948,14.850077867507935,-4.782445013523102,41.47995948791504,0.10952701792120928,0.26429574564099306,0.717823714017868,5.254940867424011
V2,4,13.86895489692688,26.913307666778564,-12.348000526428223,65.86938285827637,0.22080739960074425,0.5647226125001907,1.580990046262741,15.174118041992188
V5,4,19.35982608795166,32.90386343002319,-17.153485536575317,72.42589378356934,0.5332186818122864,1.137663096189499,3.097377836704254,24.42919921875
