preset_short_label,track_count,mean_duration_sec,mean_peak_dbfs,mean_rms_dbfs,mean_crest_factor_db,mean_spectral_mae_db,mean_spectral_rmse_db,mean_spectral_bias_db,mean_spectral_corr
WAV,89,237.6718792835486,-0.1385618777425039,-10.68537219186847,10.546810321593552,0.0,0.0,0.0,1.0
128 CBR,89,237.6718792835486,1.5382011713606587,-11.108157790109013,12.646358907892463,8.855335993713208,17.48165530301212,-8.754424780942081,0.901599505079053
192 CBR,89,237.6718792835486,0.8703830312477069,-10.942535871870062,11.812918920195505,5.058255155434769,12.480685394801451,-5.043291998713204,0.9104168131399953
320 CBR,89,237.6718792835486,0.4776020711811071,-10.684558230839418,11.16216028406379,2.6135486953713922,8.681135832593682,-2.5631960288862166,0.9228541422761313
V0,89,237.6718792835486,0.6943406839802694,-10.683461955424105,11.377802602360758,0.3700709483178144,1.0717174519648713,-0.2597710730016147,0.9976088322587522
V2,89,237.6718792835486,1.2638461472613087,-10.683464473552919,11.94731062985538,5.052703193064486,12.515748302588301,-4.9340346556031305,0.9117810075109878
V5,89,237.6718792835486,2.1803833594482938,-10.663949859276247,12.844333187917645,9.145532466052623,17.61855564224586,-8.594235870275604,0.9028089706150153
