preset_short_label,track_count,mean_delta_peak_db,mean_delta_rms_db,mean_delta_crest_factor_db
128 CBR,89,1.6767630491031627,-0.4227855982405416,2.0995485862989103
192 CBR,89,1.0089449089902107,-0.257163680001591,1.266108598601952
320 CBR,89,0.616163948923611,0.0008139610290527344,0.6153499624702368
V0,89,0.8329025617227732,0.001910236444366112,0.8309922807672051
V2,89,1.4024080250038127,0.0019077183155531293,1.4005003082618286
V5,89,2.3189452371907975,0.021422332592224806,2.2975228663240927
,0,,,
